Custom label,Item ID,,Purchases,Price,,Pricing 7.8.19,Diff new Pricing & ebay,,,Custom label,Item ID, ,Purchases,Price,Comp or exhaust,Not on 7.8.19 Pricing
GGM281,254294428822,https://www.ebay.co.uk/itm/254294428822,0,£45.03,A,36.25,£8.78,,,G370044,264428327777,https://www.ebay.co.uk/itm/264428327777,0,£68.90,,Not On Price List
GFT787,264394547623,https://www.ebay.co.uk/itm/264394547623,0,£44.14,A,35.39,£8.75,,,G370045,254328239783,https://www.ebay.co.uk/itm/254328239783,0,£68.90,,Not On Price List
GGM116,264395882854,https://www.ebay.co.uk/itm/264395882854,0,£36.88,A,28.15,£8.73,,,G370046,254328238965,https://www.ebay.co.uk/itm/254328238965,0,£75.16,,Not On Price List
GLR199,264395887012,https://www.ebay.co.uk/itm/264395887012,0,£58.32,A,49.64,£8.68,,,G370047,254328236454,https://www.ebay.co.uk/itm/254328236454,0,£74.90,,Not On Price List
GPG543,254294435028,https://www.ebay.co.uk/itm/254294435028,0,£41.49,A,32.85,£8.64,,,G370048,264428327649,https://www.ebay.co.uk/itm/264428327649,0,£66.90,,Not On Price List
GFE850,264395895673,https://www.ebay.co.uk/itm/264395895673,0,£23.73,A,15.1,£8.63,,,G370052,264428329613,https://www.ebay.co.uk/itm/264428329613,0,£61.90,,Not On Price List
GPG626,254292986701,https://www.ebay.co.uk/itm/254292986701,0,£33.73,A,25.13,£8.60,,,G370054,264428329835,https://www.ebay.co.uk/itm/264428329835,0,£58.90,,Not On Price List
GDN520,254294427325,https://www.ebay.co.uk/itm/254294427325,0,£40.81,A,32.22,£8.59,,,G370055,254328236181,https://www.ebay.co.uk/itm/254328236181,0,£56.90,,Not On Price List
GPG464,254294429714,https://www.ebay.co.uk/itm/254294429714,0,£45.68,A,37.13,£8.55,,,G370060,264428329611,https://www.ebay.co.uk/itm/264428329611,0,£61.90,,Not On Price List
GRR312,254294437458,https://www.ebay.co.uk/itm/254294437458,0,£37.58,A,29.05,£8.53,,,G370062,264428328970,https://www.ebay.co.uk/itm/264428328970,0,£50.90,,Not On Price List
GHA238,254299065423,https://www.ebay.co.uk/itm/254299065423,0,£46.11,A,37.6,£8.51,,,G370063,264428327452,https://www.ebay.co.uk/itm/264428327452,0,£51.43,,Not On Price List
GCN480,254294449573,https://www.ebay.co.uk/itm/254294449573,0,£44.53,A,36.05,£8.48,,,G370064,264432771899,https://www.ebay.co.uk/itm/264432771899,0,£69.38,,Not On Price List
GPG620,264395904857,https://www.ebay.co.uk/itm/264395904857,0,£28.59,A,20.15,£8.44,,,G370065,264428328199,https://www.ebay.co.uk/itm/264428328199,0,£56.90,,Not On Price List
GGM235,264395882856,https://www.ebay.co.uk/itm/264395882856,0,£20.22,A,11.84,£8.38,,,G370066,254328235971,https://www.ebay.co.uk/itm/254328235971,0,£61.90,,Not On Price List
GCN470,264394552639,https://www.ebay.co.uk/itm/264394552639,0,£43.76,A,35.39,£8.37,,,G370068,264428330886,https://www.ebay.co.uk/itm/264428330886,0,£38.80,,Not On Price List
GFT785,254292988481,https://www.ebay.co.uk/itm/254292988481,0,£36.41,A,28.05,£8.36,,,G370070,264428329258,https://www.ebay.co.uk/itm/264428329258,0,£83.90,,Not On Price List
GFE895,254294437683,https://www.ebay.co.uk/itm/254294437683,0,£22.42,A,14.09,£8.33,,,G370071,254328236447,https://www.ebay.co.uk/itm/254328236447,0,£61.90,,Not On Price List
GFT828,254294441894,https://www.ebay.co.uk/itm/254294441894,0,£45.97,A,37.65,£8.32,,,G370074,264432772118,https://www.ebay.co.uk/itm/264432772118,0,£69.38,,Not On Price List
